Code,Name,Parent Category Code,Image name
SC-4-034,ខ្លាញ់កាប,C-004,no_image.png
SC-5-001,ដែកបាញ់ឆែរ,C-004,no_image.png
SC-5-002,ម៉ូទ័រកាត់ដែក,C-005,no_image.png
SC-5-003,ម៉ូទ័រកាត់ឈើ,C-005,no_image.png
SC-5-004,ម៉ូទ័រញាក់,C-005,no_image.png
SC-5-005,ម៉ូទ័រស្វាន,C-005,no_image.png
SC-5-006,ម៉ូទ័រខ្យល់,C-005,no_image.png
SC-5-007,ម៉ូទ័រពត់ដែក,C-005,no_image.png
SC-5-008,ម៉ូទ័រតារ៉ូ,C-005,no_image.png
SC-5-009,ម៉ូទ័របូមទឹក,C-005,no_image.png
SC-5-010,ប៉ុស្តិ៍ផ្សា,C-005,no_image.png
SC-5-011,ម៉ាស៊ីនបង្ហាប់ដី,C-005,no_image.png
SC-5-012,ម៉ាស៊ីនក្រឡុកបេតុង,C-005,no_image.png
SC-5-013,ម៉ាស៊ីនញាក់បេតុង,C-005,no_image.png
SC-5-014,ម៉ាស៊ីនខាត់បេតុង,C-005,no_image.png
SC-5-015,ម៉ាស៊ីនកាត់បេតុង,C-005,no_image.png
SC-5-016,ម៉ាស៊ីនបូមខ្យល់,C-005,no_image.png
SC-5-017,ម៉ាស៊ីនបាញ់ថ្នាំ,C-005,no_image.png
SC-5-018,ម៉ាស៊ីនបូមទឹក,C-005,no_image.png
SC-5-019,ម៉ាស៊ីនភ្លើង,C-005,no_image.png
SC-6-001,ប្រេង,C-006,no_image.png
,,,
,,,
,,,
,,,
,,,
,,,
,,,
